line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Moryké Fofana,26,Atiker Konyaspor,TUR - Süper Lig,both,178,Cote d'Ivoire,W,15,10,2,258,0,
Ömer Ali Sahiner,26,Atiker Konyaspor,TUR - Süper Lig,right,175,Turkey,W,15,42,3,3255,8,
Volkan Sen,30,Atiker Konyaspor,TUR - Süper Lig,right,175,Turkey,W,15,43,7,2304,9,
Adis Jahovic,30,Atiker Konyaspor,TUR - Süper Lig,right,191,Macedonia  Bosnia-Herzegovina,CF,15,17,3,1176,1,
Samuel Eto'o,37,Atiker Konyaspor,TUR - Süper Lig,both,180,Cameroon  Spain,CF,15,32,20,2837,6,
Mustapha Yatabaré,32,Atiker Konyaspor,TUR - Süper Lig,right,186,Mali  France,CF,15,31,5,1628,2,
Ryan Mendes,28,Kayserispor,TUR - Süper Lig,right,178,Cape Verde  France,W,15,35,2,2222,6,
Silvestre Varela,33,Kayserispor,TUR - Süper Lig,right,179,Portugal  Cape Verde,W,15,34,3,1728,1,
William A,26,Kayserispor,TUR - Süper Lig,right,180,Brazil  Romania,W,15,39,4,2914,5,
Asamoah Gyan,32,Kayserispor,TUR - Süper Lig,right,180,Ghana,CF,15,15,3,721,1,
Artem Kravets,28,Kayserispor,TUR - Süper Lig,right,189,Ukraine,CF,15,34,4,1338,4,
Nikola Stojiljkovic,25,Kayserispor,TUR - Süper Lig,right,184,Serbia,CF,15,52,18,3330,4,
Umut Bulut,34,Kayserispor,TUR - Süper Lig,right,184,Turkey,CF,15,46,7,2667,4,
Yoan Gouffran,31,Göztepe,TUR - Süper Lig,right,175,France  Guadeloupe,W,15,10,0,403,0,
Muhammed Enes Durmus,21,Göztepe,TUR - Süper Lig,right,179,Turkey,W,15,7,1,421,1,
Demba Ba,32,Göztepe,TUR - Süper Lig,right,189,Senegal  France,CF,15,21,17,1805,4,
Nabil Ghilas,27,Göztepe,TUR - Süper Lig,right,185,Algeria  France,CF,15,22,0,1110,1,
Ömer Sismanoglu,28,Göztepe,TUR - Süper Lig,both,186,Turkey  Germany,CF,15,24,7,988,3,
Robinho,34,Sivasspor,TUR - Süper Lig,right,172,Brazil  Spain,W,15,32,12,2080,6,
Cyriac,27,Sivasspor,TUR - Süper Lig,right,173,Cote d'Ivoire  Belgium,W,15,34,14,2109,4,
Thievy Bifouma,25,Sivasspor,TUR - Süper Lig,right,180,Congo  France,W,15,22,4,1151,1,
Arouna Koné,34,Sivasspor,TUR - Süper Lig,right,181,Cote d'Ivoire,CF,15,31,7,1812,3,
Muhammet Demir,26,Sivasspor,TUR - Süper Lig,right,180,Turkey,CF,15,31,11,2467,5,
Elvis Manu,24,Genclerbirligi Ankara,TUR - Süper Lig,right,178,Netherlands  Ghana,W,15,18,0,504,0,
Ahmet Ilhan Özek,30,Genclerbirligi Ankara,TUR - Süper Lig,both,181,Turkey,W,15,42,4,2798,4,
Jaílton Paraíba,27,Genclerbirligi Ankara,TUR - Süper Lig,right,166,Brazil,W,15,29,12,2610,6,
Petar Skuletic,27,Genclerbirligi Ankara,TUR - Süper Lig,left,193,Serbia  Montenegro,CF,15,24,7,1205,0,
Deniz Yilmaz,30,Genclerbirligi Ankara,TUR - Süper Lig,right,182,Azerbaijan  Turkey,CF,15,21,7,1491,4,
Aminu Umar,23,Osmanlispor FK,TUR - Süper Lig,right,174,Nigeria,W,15,29,8,2427,5,
Serdar Gürler,26,Osmanlispor FK,TUR - Süper Lig,right,175,Turkey  France,W,15,12,1,400,0,
Sokol Cikalleshi,27,Osmanlispor FK,TUR - Süper Lig,right,187,Albania,CF,15,37,13,1809,4,
Raul Rusescu,29,Osmanlispor FK,TUR - Süper Lig,right,181,Romania,CF,15,26,10,1525,2,
Mehmet Batdal,32,Osmanlispor FK,TUR - Süper Lig,both,196,Turkey,CF,15,35,11,2371,6,
Ali A<U+0096>zgAzn,28,Osmanlispor FK,TUR - Süper Lig,right,186,Germany,CF,15,33,11,2313,0,
Maicón,28,Antalyaspor,TUR - Süper Lig,right,182,Brazil  Portugal,W,15,24,5,1175,3,
Milan Jevtovic,24,Antalyaspor,TUR - Süper Lig,right,184,Serbia,W,15,46,14,3625,5,
Souleymane Doukara,26,Antalyaspor,TUR - Süper Lig,right,186,Senegal  France,CF,15,27,5,1617,2,
Moestafa El Kabir,29,Antalyaspor,TUR - Süper Lig,right,176,Morocco  Netherlands,CF,15,36,9,2604,3,
Deniz Kadah,32,Antalyaspor,TUR - Süper Lig,both,188,Turkey  Germany,CF,15,42,14,2976,3,
Emre Güral,28,Antalyaspor,TUR - Süper Lig,left,187,Turkey  Germany,CF,15,24,10,1414,3,
Daniel Larsson,31,Akhisarspor,TUR - Süper Lig,right,175,Sweden,W,15,36,5,2975,2,
Onur Ayik,28,Akhisarspor,TUR - Süper Lig,both,183,Turkey  Germany,W,15,30,3,1134,1,
Geoffrey Bia,28,Akhisarspor,TUR - Süper Lig,right,180,Belgium  DR Congo,W,15,27,8,1315,5,
Paulo Henrique,28,Akhisarspor,TUR - Süper Lig,right,185,Brazil,CF,15,,,,,
Evgen Seleznev,32,Akhisarspor,TUR - Süper Lig,right,185,Ukraine,CF,15,33,16,2741,2,
Marvin Emnes,29,Akhisarspor,TUR - Süper Lig,both,180,Netherlands  Suriname,CF,15,5,4,260,1,
Mugdat Celik,28,Akhisarspor,TUR - Süper Lig,right,180,Turkey,CF,15,30,5,2284,4,
Adem Büyük,30,Yeni Malatyaspor,TUR - Süper Lig,right,167,Turkey,W,15,32,3,2110,5,
Berk Yildiz,22,Yeni Malatyaspor,TUR - Süper Lig,left,178,Turkey,W,15,22,2,834,0,
Issiar Dia,30,Yeni Malatyaspor,TUR - Süper Lig,right,173,Senegal  France,W,15,14,0,625,0,
Emanuel Dening,29,Yeni Malatyaspor,TUR - Süper Lig,right,176,Argentina,W,15,16,6,1300,1,
Khalid Boutaïb,30,Yeni Malatyaspor,TUR - Süper Lig,right,190,Morocco  France,CF,15,35,10,2221,1,
Gilberto,28,Yeni Malatyaspor,TUR - Süper Lig,right,178,Brazil,CF,15,17,2,879,2,
Eren Tozlu,27,Yeni Malatyaspor,TUR - Süper Lig,left,175,Turkey,CF,15,24,0,1666,1,
Jhon Murillo,22,Kasimpasa,TUR - Süper Lig,right,171,Venezuela,W,15,23,3,1373,1,
Samuel Eduok,24,Kasimpasa,TUR - Süper Lig,left,176,Nigeria,W,15,12,0,495,0,
Ilhan Depe,25,Kasimpasa,TUR - Süper Lig,both,172,Turkey,W,15,32,1,1798,4,
Trezeguet,23,Kasimpasa,TUR - Süper Lig,both,179,Egypt,W,15,8,0,175,1,
Mbaye Diagne,26,Kasimpasa,TUR - Süper Lig,right,191,Senegal,CF,15,44,20,3357,4,
Bengali-Fodé Koita,27,Kasimpasa,TUR - Süper Lig,right,186,Guinea  France,CF,15,26,1,1259,3,
Franck Etoundi,27,Kasimpasa,TUR - Süper Lig,right,185,Cameroon,CF,15,26,5,1642,6,
Adam Stahl,23,Kardemir Karabükspor,TUR - Süper Lig,right,185,Sweden,W,15,19,4,1465,1,
Ahmet Karadayi,22,Kardemir Karabükspor,TUR - Süper Lig,right,0,Belgium  Turkey,W,15,,,,,
Hervé Kage,28,Kardemir Karabükspor,TUR - Süper Lig,right,177,DR Congo  Belgium,W,15,29,6,1705,6,
Leandrinho A,31,Kardemir Karabükspor,TUR - Süper Lig,right,178,Brazil,W,15,30,17,2449,5,
Marius Alexe,28,Kardemir Karabükspor,TUR - Süper Lig,right,186,Romania,CF,15,35,8,2736,3,
Ergin Keles,31,Kardemir Karabükspor,TUR - Süper Lig,right,184,Turkey,CF,15,28,11,2079,2,
Yusuf Akbulut,27,Kardemir Karabükspor,TUR - Süper Lig,,0,Turkey,CF,15,12,1,593,0,
Sebá,25,Olympiacos Piraeus,GRC - Super League,left,182,Brazil,W,15,33,4,1765,6,
Marko Marin,28,Olympiacos Piraeus,GRC - Super League,right,170,Germany,W,15,29,2,1844,5,
Kevin Mirallas,30,Olympiacos Piraeus,GRC - Super League,right,182,Belgium,W,15,30,6,1342,3,
Felipe Pardo,27,Olympiacos Piraeus,GRC - Super League,both,178,Colombia,W,15,32,8,1900,7,
Uros Djurdjevic,24,Olympiacos Piraeus,GRC - Super League,right,181,Serbia,CF,15,16,2,538,1,
Karim Ansarifard,27,Olympiacos Piraeus,GRC - Super League,both,183,Iran,CF,15,36,10,2073,2,
Nikolaos Vergos,22,Olympiacos Piraeus,GRC - Super League,both,185,Greece,CF,15,13,2,261,0,
Róbert Mak,27,PAOK Thessaloniki,GRC - Super League,right,179,Slovakia,W,15,46,20,3760,3,
Dimitrios Limnios,19,PAOK Thessaloniki,GRC - Super League,right,178,Greece  Brazil,W,15,14,0,384,0,
Djalma,30,PAOK Thessaloniki,GRC - Super League,right,176,Angola  Portugal,W,15,28,7,2323,8,
Aleksandar Prijovic,27,PAOK Thessaloniki,GRC - Super League,right,191,Serbia  Switzerland,CF,15,47,16,2914,9,
Efthymios Koulouris,22,PAOK Thessaloniki,GRC - Super League,right,184,Greece,CF,15,25,6,962,1,
Lazaros Christodoulopoulos,31,AEK Athens,GRC - Super League,both,183,Greece,W,15,11,1,382,0,
Marko Livaja,24,AEK Athens,GRC - Super League,right,182,Croatia,CF,15,18,1,598,0,
Sergio Araujo,26,AEK Athens,GRC - Super League,right,180,Argentina,CF,15,31,5,1909,5,
Georgios Giakoumakis,23,AEK Athens,GRC - Super League,right,186,Greece,CF,15,10,2,706,1,
Dimitrios Melikiotis,21,AEK Athens,GRC - Super League,right,184,Greece,CF,15,7,1,214,0,
Anthony Mounier,30,Panathinaikos Athens,GRC - Super League,left,174,France,W,15,33,4,2206,1,
Giannis Mystakidis,23,Panathinaikos Athens,GRC - Super League,both,181,Greece,W,15,31,5,1442,6,
Anastasios Chatzigiovannis,20,Panathinaikos Athens,GRC - Super League,both,178,Greece,W,15,,,,,
Dimitrios Emmanouilidis,17,Panathinaikos Athens,GRC - Super League,,171,Greece,W,15,,,,,
Christos Kountouriotis,20,Panathinaikos Athens,GRC - Super League,right,182,Greece,W,15,,,,,
Guillermo Molins,29,Panathinaikos Athens,GRC - Super League,right,186,Sweden  Uruguay,CF,15,28,5,1330,3,
Sotiris Pispas,20,Panathinaikos Athens,GRC - Super League,,177,Greece,CF,15,,,,,
Amr Warda,24,Atromitos Athen,GRC - Super League,right,176,Egypt,W,15,30,5,2217,2,
Bruno,23,Atromitos Athen,GRC - Super League,left,180,Brazil,W,15,32,7,2629,6,
Georgios Manousos,30,Atromitos Athen,GRC - Super League,right,177,Greece,W,15,32,7,2852,0,
Abiola Dauda,30,Atromitos Athen,GRC - Super League,right,180,Nigeria  Sweden,CF,15,32,14,1779,0,
Nicolas Diguiny,29,Atromitos Athen,GRC - Super League,right,179,France,CF,15,25,4,2250,3,
Konstantinos Kotsopoulos,21,Atromitos Athen,GRC - Super League,right,177,Greece,CF,15,,,,,
Georgios Masouras,24,Panionios Athens,GRC - Super League,right,184,Greece,W,15,37,2,2455,0,
Srdjan Spiridonovic,24,Panionios Athens,GRC - Super League,both,173,Austria  Serbia,W,15,30,6,2069,4,
Lazaros Lamprou,20,Panionios Athens,GRC - Super League,right,183,Greece,W,15,2,0,19,0,
Gerasimos Voukelatos,19,Panionios Athens,GRC - Super League,left,181,Greece,W,15,,,,,
Samed Yesil,23,Panionios Athens,GRC - Super League,right,180,Germany  Turkey,CF,15,18,4,479,2,
Fiorin Durmishaj,21,Panionios Athens,GRC - Super League,right,185,Albania  Greece,CF,15,16,1,776,0,
Nicki Bille Nielsen,30,Panionios Athens,GRC - Super League,right,181,Denmark,CF,15,31,8,2432,2,
Farley Rosa,24,Panetolikos Agrinio,GRC - Super League,right,174,Brazil  Portugal,W,15,24,1,881,0,
Ilias Gianniotis,20,Panetolikos Agrinio,GRC - Super League,,0,Greece,W,15,,,,,
Clésio Baúque,23,Panetolikos Agrinio,GRC - Super League,right,174,Mozambique,W,15,17,0,759,0,
Jorge Díaz,28,Panetolikos Agrinio,GRC - Super League,right,169,Uruguay  Spain,W,15,23,1,816,1,
Vlad Morar,24,Panetolikos Agrinio,GRC - Super League,right,183,Romania,CF,15,15,9,991,1,
Georgios Vakrakos,20,Panetolikos Agrinio,GRC - Super League,,0,Greece,CF,15,,,,,
Eugenio Isnaldo,24,Asteras Tripolis,GRC - Super League,left,180,Argentina,W,15,12,1,878,2,
Gyeol-Hee Jang,19,Asteras Tripolis,GRC - Super League,left,175,Korea South,W,15,,,,,
Nikolaos Kaltsas,27,Asteras Tripolis,GRC - Super League,right,171,Greece,W,15,27,5,1282,3,
Giannis Kotsiras,25,Asteras Tripolis,GRC - Super League,right,183,Greece,W,15,,,,,
Nabil Jaadi,21,Asteras Tripolis,GRC - Super League,right,178,Morocco  Belgium,W,15,27,1,1321,0,
Giannis Bastianos,19,Asteras Tripolis,GRC - Super League,right,173,Greece,W,15,,,,,
Michalis Manias,28,Asteras Tripolis,GRC - Super League,right,189,Greece,CF,15,30,10,2330,2,
Anastasios Douvikas,18,Asteras Tripolis,GRC - Super League,,0,Greece,CF,15,,,,,
Rooney Wankewai,21,Asteras Tripolis,GRC - Super League,both,185,Cameroon,CF,15,,,,,
Enes Dolovac,19,PAS Giannina,GRC - Super League,,176,Serbia,W,15,,,,,
Georgios Manthatis,20,PAS Giannina,GRC - Super League,right,174,Greece,W,15,8,3,555,0,
Karim Soltani,33,PAS Giannina,GRC - Super League,both,179,Algeria  France,W,15,26,5,2115,0,
Pedro Conde,29,PAS Giannina,GRC - Super League,,181,Spain,CF,15,37,17,3168,0,
Philip Hellquist,26,PAS Giannina,GRC - Super League,right,184,Sweden,CF,15,30,2,1443,1,
Franck Betra,21,PAS Giannina,GRC - Super League,right,180,France,CF,15,,,,,
Denis Epstein,31,AOK Kerkyra,GRC - Super League,left,180,Germany,W,15,23,0,1602,1,
Fábio Nunes,25,AOK Kerkyra,GRC - Super League,left,176,Portugal,W,15,25,0,1171,1,
Alexandros Kontos,31,AOK Kerkyra,GRC - Super League,left,177,Greece,W,15,32,9,2009,2,
Fotis Georgiou,32,AOK Kerkyra,GRC - Super League,right,168,Greece,W,15,30,4,2435,3,
Thuram,27,AOK Kerkyra,GRC - Super League,right,183,Brazil,CF,15,22,2,782,2,
Nestoras Mytidis,26,AOK Kerkyra,GRC - Super League,both,185,Cyprus,CF,15,23,3,789,0,
Georgios Pamlidis,24,AOK Kerkyra,GRC - Super League,right,179,Greece,CF,15,28,4,1970,1,
Jonathan Bauman,26,AOK Kerkyra,GRC - Super League,right,178,Argentina,CF,15,,,,,
Konstantinos Georgakopoulos,24,AOK Kerkyra,GRC - Super League,right,186,Greece,CF,15,14,0,521,1,
Christos Albanis,23,Apollon Smyrnis,GRC - Super League,both,184,Greece,W,15,8,1,459,1,
Savvas Siatravanis,25,Apollon Smyrnis,GRC - Super League,right,172,Greece,W,15,31,8,2682,6,
Enver Alivodic,33,Apollon Smyrnis,GRC - Super League,right,178,Serbia,W,15,26,2,2243,3,
Darren Maatsen,27,Apollon Smyrnis,GRC - Super League,right,185,Netherlands  Suriname,W,15,27,4,1809,5,
Anthony Stokes,29,Apollon Smyrnis,GRC - Super League,right,185,Ireland,CF,15,27,10,2235,3,
Eli Elbaz,26,Apollon Smyrnis,GRC - Super League,,179,Israel,CF,15,17,2,622,0,
Gonzalo Castillejos,32,Apollon Smyrnis,GRC - Super League,right,182,Argentina,CF,15,0,0,0,0,
Kike Boula,24,AO Xanthi,GRC - Super League,,174,Equatorial Guinea  Spain,W,15,31,2,1530,0,
Brito,30,AO Xanthi,GRC - Super League,right,178,Cape Verde  Portugal,W,15,2,0,49,0,
Petar Djurickovic,26,AO Xanthi,GRC - Super League,left,178,Serbia,W,15,36,4,3032,9,
Panagiotis Triadis,25,AO Xanthi,GRC - Super League,both,181,Greece  Germany,W,15,12,0,417,2,
Erik Jendrisek,31,AO Xanthi,GRC - Super League,both,170,Slovakia,CF,15,38,14,3042,2,
Matías Castro,26,AO Xanthi,GRC - Super League,right,182,Argentina,CF,15,1,0,44,0,
Nikolaos Sampanidis,19,AO Xanthi,GRC - Super League,,187,Greece,CF,15,,,,,
Milos Deletic,24,AE Larisa,GRC - Super League,right,179,Serbia,W,15,28,2,1470,2,
Nemanja Mladenovic,25,AE Larisa,GRC - Super League,left,179,Serbia,W,15,34,8,2683,4,
Konstantinos Makris,19,AE Larisa,GRC - Super League,,0,Greece,W,15,,,,,
Thomas Nazlidis,30,AE Larisa,GRC - Super League,right,185,Greece,CF,15,33,5,2516,2,
Sandi Krizman,28,AE Larisa,GRC - Super League,right,179,Croatia,CF,15,22,3,1105,1,
Emanuel Perrone,34,AE Larisa,GRC - Super League,right,191,Argentina  Italy,CF,15,19,5,810,1,
Filip Kasalica,29,Platanias Chania,GRC - Super League,right,179,Montenegro  Serbia,W,15,41,4,2671,6,
Giannis Papanikolaou,19,Platanias Chania,GRC - Super League,right,182,Greece,W,15,,,,,
Gurjinder Singh,20,Platanias Chania,GRC - Super League,left,186,Greece,W,15,,,,,
Clarck N'Sikulu,25,Platanias Chania,GRC - Super League,right,180,DR Congo  France,CF,15,9,0,563,0,
Shikoze Udoji,31,Platanias Chania,GRC - Super League,both,172,Bulgaria  Nigeria,CF,15,36,6,2908,5,
Antonis Petropoulos,32,Platanias Chania,GRC - Super League,left,191,Greece,CF,15,5,0,61,0,
Piotr Grzelczak,30,Platanias Chania,GRC - Super League,right,186,Poland,CF,15,35,6,1909,5,
Wanderson C,24,PAS Lamia 1964,GRC - Super League,both,164,Brazil,W,15,30,9,2228,4,
Nikolaos Tsoukalos,25,PAS Lamia 1964,GRC - Super League,left,183,Greece,W,15,29,2,1851,1,
Michalis Frangos,27,PAS Lamia 1964,GRC - Super League,right,179,Greece,W,15,31,9,2081,0,
Evgen Budnik,27,PAS Lamia 1964,GRC - Super League,right,185,Ukraine,CF,15,31,3,1269,1,
Nikola Asceric,26,PAS Lamia 1964,GRC - Super League,right,193,Serbia,CF,15,32,8,2081,3,
Vangelis Patsarouchas,19,PAS Lamia 1964,GRC - Super League,,0,Greece,CF,15,,,,,
Petros Giakoumakis,25,APO Levadiakos,GRC - Super League,both,179,Greece,W,15,29,8,2335,1,
Mohamed Youssouf,29,APO Levadiakos,GRC - Super League,left,168,Comoros  France,W,15,19,1,1134,1,
Chahir Belghazouani,31,APO Levadiakos,GRC - Super League,left,180,Morocco  France,W,15,5,0,154,1,
Souleymane Sawadogo,25,APO Levadiakos,GRC - Super League,right,171,Burkina Faso  Cote d'Ivoire,W,15,2,0,32,0,
Marko Markovski,31,APO Levadiakos,GRC - Super League,both,191,Serbia,CF,15,30,8,2521,2,
Fotis Ioannidis,18,APO Levadiakos,GRC - Super League,both,186,Greece,CF,15,,,,,
Neymar,26,Paris Saint-Germain,FRA - Ligue 1,both,175,Brazil,W,15,49,31,4434,27,
Julian Draxler,24,Paris Saint-Germain,FRA - Ligue 1,right,187,Germany,W,15,35,9,2584,8,
Kylian Mbappé,19,Paris Saint-Germain,FRA - Ligue 1,right,178,France  Cameroon,W,15,14,1,496,2,
Ángel Di María,30,Paris Saint-Germain,FRA - Ligue 1,left,180,Argentina  Italy,W,15,47,15,3402,25,
Edinson Cavani,31,Paris Saint-Germain,FRA - Ligue 1,right,184,Uruguay  Italy,CF,15,52,25,3629,7,
Thomas Lemar,22,AS Monaco,FRA - Ligue 1,left,170,France  Guadeloupe,W,15,34,5,2191,5,
Keita Baldé,23,AS Monaco,FRA - Ligue 1,both,184,Senegal  Spain,W,15,39,5,2311,8,
Gabriel Boschilia,22,AS Monaco,FRA - Ligue 1,left,172,Brazil  Italy,W,15,18,2,877,2,
Rony Lopes,22,AS Monaco,FRA - Ligue 1,left,174,Portugal  Brazil,W,15,18,3,915,1,
Rachid Ghezzal,25,AS Monaco,FRA - Ligue 1,left,182,Algeria  France,W,15,38,10,2082,9,
Jordi Mboula,18,AS Monaco,FRA - Ligue 1,right,183,Spain  Congo,W,15,1,0,57,0,
Falcao,32,AS Monaco,FRA - Ligue 1,right,177,Colombia,CF,15,12,1,363,0,
Stevan Jovetic,28,AS Monaco,FRA - Ligue 1,right,183,Montenegro  Serbia,CF,15,28,7,1715,4,
Adama Diakhaby,21,AS Monaco,FRA - Ligue 1,left,184,France  Senegal,CF,15,,,,,
Pietro Pellegri,16,AS Monaco,FRA - Ligue 1,right,188,Italy,CF,15,19,0,817,0,
Memphis Depay,24,Olympique Lyon,FRA - Ligue 1,right,176,Netherlands  Ghana,W,15,46,7,2555,9,
Willem Geubbels,16,Olympique Lyon,FRA - Ligue 1,right,185,France  Netherlands,W,15,,,,,
Maxwel Cornet,21,Olympique Lyon,FRA - Ligue 1,left,179,Cote d'Ivoire  France,W,15,40,12,1925,2,
Bertrand Traoré,22,Olympique Lyon,FRA - Ligue 1,left,181,Burkina Faso,W,15,18,5,693,1,
Mariano Díaz,24,Olympique Lyon,FRA - Ligue 1,right,182,Dominican Republic  Spain,CF,15,32,27,2053,1,
Myziane Maolida,19,Olympique Lyon,FRA - Ligue 1,right,181,France  Comoros,CF,15,,,,,
Amine Gouiri,18,Olympique Lyon,FRA - Ligue 1,right,180,France  Algeria,CF,15,,,,,
Lucas Ocampos,23,Olympique Marseille,FRA - Ligue 1,both,187,Argentina,W,15,25,4,1328,1,
Florian Thauvin,25,Olympique Marseille,FRA - Ligue 1,left,179,France,W,15,38,5,1856,2,
Yusuf Sari,19,Olympique Marseille,FRA - Ligue 1,right,168,France  Turkey,W,15,,,,,
Clinton N'Jie,24,Olympique Marseille,FRA - Ligue 1,right,175,Cameroon,CF,15,14,0,386,1,
Konstantinos Mitroglou,30,Olympique Marseille,FRA - Ligue 1,both,188,Greece,CF,15,45,25,3009,6,
Valère Germain,27,Olympique Marseille,FRA - Ligue 1,right,180,France,CF,15,40,14,3248,6,
Allan Saint-Maximin,21,OGC Nice,FRA - Ligue 1,right,173,France  Guadeloupe,W,15,18,1,547,0,
Bassem Srarfi,20,OGC Nice,FRA - Ligue 1,left,176,Tunisia,W,15,23,3,1651,3,
Vincent Marcel,20,OGC Nice,FRA - Ligue 1,left,180,France  Guadeloupe,W,15,,,,,
Mario Balotelli,27,OGC Nice,FRA - Ligue 1,right,189,Italy  Ghana,CF,15,23,3,994,1,
Alassane Pléa,25,OGC Nice,FRA - Ligue 1,right,181,France  Mali,CF,15,19,6,1412,4,
Mickaël Le Bihan,27,OGC Nice,FRA - Ligue 1,right,184,France,CF,15,5,1,304,1,
François Kamano,21,FC Girondins Bordeaux,FRA - Ligue 1,right,182,Guinea,W,15,24,4,1493,0,
Malcom,21,FC Girondins Bordeaux,FRA - Ligue 1,left,171,Brazil,W,15,13,2,571,1,
Jonathan Cafú,26,FC Girondins Bordeaux,FRA - Ligue 1,right,175,Brazil  Bulgaria,W,15,27,9,2074,3,
Martin Braithwaite,26,FC Girondins Bordeaux,FRA - Ligue 1,,177,Denmark  Guyana,CF,15,41,14,3196,2,
Nicolas de Préville,27,FC Girondins Bordeaux,FRA - Ligue 1,right,182,France,CF,15,38,8,3041,9,
Gaëtan Laborde,23,FC Girondins Bordeaux,FRA - Ligue 1,left,181,France,CF,15,21,9,1585,1,
Alexandre Mendy,23,FC Girondins Bordeaux,FRA - Ligue 1,right,184,France  Senegal,CF,15,21,6,648,0,
Max Gradel,30,FC Toulouse,FRA - Ligue 1,right,175,Cote d'Ivoire  France,W,15,15,1,989,5,
Jimmy Durmaz,28,FC Toulouse,FRA - Ligue 1,left,180,Sweden  Turkey,W,15,27,7,1946,10,
Corentin Jean,22,FC Toulouse,FRA - Ligue 1,right,170,France,W,15,37,7,2848,1,
Firmin Mubele,23,FC Toulouse,FRA - Ligue 1,right,175,DR Congo,CF,15,14,4,1230,1,
Andy Delort,26,FC Toulouse,FRA - Ligue 1,right,182,France,CF,15,38,13,3349,2,
Ola Toivonen,31,FC Toulouse,FRA - Ligue 1,right,189,Sweden,CF,15,17,3,1008,3,
Yaya Sanogo,25,FC Toulouse,FRA - Ligue 1,right,194,France  Cote d'Ivoire,CF,15,17,3,678,1,
Ismaïla Sarr,20,Stade Rennais FC,FRA - Ligue 1,right,185,Senegal,CF,15,,,,,
Diafra Sakho,28,Stade Rennais FC,FRA - Ligue 1,right,184,Senegal  France,CF,15,24,7,1628,1,
Brandon,23,Stade Rennais FC,FRA - Ligue 1,right,173,Spain,CF,15,29,6,1590,3,
Luiz Araújo,21,LOSC Lille,FRA - Ligue 1,left,175,Brazil,W,15,23,2,804,3,
Imad Faraj,19,LOSC Lille,FRA - Ligue 1,right,178,Morocco  France,W,15,,,,,
Nicolas Pepe,22,LOSC Lille,FRA - Ligue 1,left,183,Cote d'Ivoire  France,W,15,13,2,706,0,
Anwar El Ghazi,22,LOSC Lille,FRA - Ligue 1,right,189,Netherlands  Morocco,W,15,37,11,2483,3,
Ezequiel Ponce,20,LOSC Lille,FRA - Ligue 1,right,178,Argentina  Italy,CF,15,11,10,954,4,
Lebo Mothiba,22,LOSC Lille,FRA - Ligue 1,right,182,South Africa,CF,15,,,,,
Yassine El Ghanassy,27,FC Nantes,FRA - Ligue 1,right,173,Belgium  Morocco,W,15,15,5,853,3,
Alexis Alégué,21,FC Nantes,FRA - Ligue 1,left,175,Cameroon  France,W,15,3,1,96,0,
Emiliano Sala,27,FC Nantes,FRA - Ligue 1,right,187,Argentina  Italy,CF,15,35,6,2170,3,
Kalifa Coulibaly,26,FC Nantes,FRA - Ligue 1,right,197,Mali,CF,15,33,6,1037,4,
Prejuce Nakoulma,30,FC Nantes,FRA - Ligue 1,right,178,Burkina Faso,CF,15,31,7,2531,2,
Kolbeinn Sigthórsson,27,FC Nantes,FRA - Ligue 1,right,186,Iceland,CF,15,29,4,1911,0,
Yacine Bammou,26,FC Nantes,FRA - Ligue 1,right,189,Morocco  France,CF,15,36,5,1870,3,
Randal Kolo Muani,19,FC Nantes,FRA - Ligue 1,right,187,DR Congo  France,CF,15,,,,,
Santy Ngom,25,FC Nantes,FRA - Ligue 1,right,182,France  Senegal,CF,15,,,,,
Paul-Georges Ntep,25,AS Saint-Étienne,FRA - Ligue 1,right,180,France  Cameroon,W,15,15,2,986,3,
Kévin Monnet-Paquet,29,AS Saint-Étienne,FRA - Ligue 1,right,184,France  Rwanda,W,15,43,5,3020,2,
Jonathan Bamba,21,AS Saint-Étienne,FRA - Ligue 1,right,175,France  Cote d'Ivoire,W,15,25,1,1762,3,
Romain Hamouma,30,AS Saint-Étienne,FRA - Ligue 1,right,178,France,W,15,33,8,2078,3,
Oussama Tannane,23,AS Saint-Étienne,FRA - Ligue 1,left,178,Morocco  Netherlands,W,15,27,12,1969,5,
Robert Beric,26,AS Saint-Étienne,FRA - Ligue 1,both,188,Slovenia,CF,15,23,11,1618,7,
Keagan Dolly,25,HSC Montpellier,FRA - Ligue 1,left,170,South Africa,W,15,49,9,4278,9,
Jonathan Ikoné,19,HSC Montpellier,FRA - Ligue 1,left,175,France  DR Congo,W,15,8,1,419,0,
Isaac Mbenza,22,HSC Montpellier,FRA - Ligue 1,right,187,Belgium  DR Congo,W,15,37,6,2733,3,
Souleymane Camara,35,HSC Montpellier,FRA - Ligue 1,right,174,Senegal,W,15,36,8,2126,6,
Giovanni Sio,28,HSC Montpellier,FRA - Ligue 1,left,180,Cote d'Ivoire  France,CF,15,37,7,2804,7,
Casimir Ninga,24,HSC Montpellier,FRA - Ligue 1,right,186,Chad,CF,15,27,7,1998,4,
Jérémie Porsan-Clemente,20,HSC Montpellier,FRA - Ligue 1,right,179,France  Martinique,CF,15,1,0,0,0,
Naïm Sliti,25,FCO Dijon,FRA - Ligue 1,right,173,Tunisia  France,W,15,39,4,3075,5,
